,question,answer,score
0,How widespread current exposure is to be able to make immediate policy recommendations on mitigation measures.,,0.33162158727645874
1,How widespread current exposure is to be able to make immediate policy recommendations on mitigation measures.,continued use of existing precautionary recommendations is necessary.,0.017101742327213287
2,How widespread current exposure is to be able to make immediate policy recommendations on mitigation measures.,Until additional evidence,0.006295699626207352
3,How widespread current exposure is to be able to make immediate policy recommendations on mitigation measures.,Until additional evidence is available,0.005963232833892107
4,How widespread current exposure is to be able to make immediate policy recommendations on mitigation measures.,continued use of existing precautionary recommendations is necessary.,0.005673414561897516
5,"Denominators for testing and a mechanism for rapidly sharing that information, including demographics, to the extent possible.",travel restrictions,0.25836414098739624
6,"Denominators for testing and a mechanism for rapidly sharing that information, including demographics, to the extent possible.",imposing travel restrictions,0.0670149102807045
7,"Denominators for testing and a mechanism for rapidly sharing that information, including demographics, to the extent possible.",travel,0.03498470410704613
8,"Denominators for testing and a mechanism for rapidly sharing that information, including demographics, to the extent possible.","viral pandemics, the benefit to be gained from imposing travel restrictions",0.0308211762458086
9,"Denominators for testing and a mechanism for rapidly sharing that information, including demographics, to the extent possible.",travel restrictions as an adjunct to other effective control measures,0.03055964782834053
10,"Sampling methods to determine asymptomatic disease (e.g., use of serosurveys (such as convalescent samples) and early detection of disease (e.g., use of screening of neutralizing antibodies such as ELISAs).",,0.9991756677627563
11,"Sampling methods to determine asymptomatic disease (e.g., use of serosurveys (such as convalescent samples) and early detection of disease (e.g., use of screening of neutralizing antibodies such as ELISAs).",rFeIFNÏ‰,2.3016857753077602e-08
12,"Sampling methods to determine asymptomatic disease (e.g., use of serosurveys (such as convalescent samples) and early detection of disease (e.g., use of screening of neutralizing antibodies such as ELISAs).",improving clinical signs and decreasing concurrent viral excretion.,1.4704230721918066e-08
13,"Sampling methods to determine asymptomatic disease (e.g., use of serosurveys (such as convalescent samples) and early detection of disease (e.g., use of screening of neutralizing antibodies such as ELISAs).",decreasing concurrent viral excretion.,4.3628793910954755e-09
14,"Sampling methods to determine asymptomatic disease (e.g., use of serosurveys (such as convalescent samples) and early detection of disease (e.g., use of screening of neutralizing antibodies such as ELISAs).",improving clinical signs and decreasing concurrent viral excretion.,3.6767204836252176e-09
